county,dti_avg,ltv_avg,income_estimate,pct_nonwhite_estimate,pct_first_time_buyer
01001,30.412,79.033,68115,27.986,20.408
01003,33.599,71.747,80025,17.301,11.806
01005,30.525,73.765,55960,56.128,12.5
01007,32.365,74.249,75666,20.391,23.077
01009,30.287,73.52,75287,13.475,15.116
01011,28.6,49.972,55960,75.996,0.0
01013,31.222,78.925,57011,47.488,11.111
01015,31.473,74.867,59664,27.043,16.584
01017,29.761,71.342,55960,43.615,11.268
01019,33.636,74.77,58095,9.672,8.182
01021,31.648,77.684,75287,21.006,15.625
01023,38.375,80.946,55960,43.839,12.5
01025,31.568,72.436,55960,46.069,11.364
01027,31.273,75.17,55960,24.069,27.273
01029,30.283,74.365,62025,9.218,15.094
01031,32.148,77.575,67245,33.644,17.751
01033,31.881,75.749,65316,24.922,21.891
01035,32.417,75.862,55960,44.047,16.667
01037,34.579,78.295,55960,30.998,5.263
01039,32.339,72.669,56831,18.322,13.043
01041,30.85,74.407,59896,25.298,20.0
01043,31.657,72.517,60790,10.72,12.113
01045,28.573,75.129,56776,29.657,18.447
01047,32.762,77.066,55960,59.298,19.048
01049,32.377,73.046,55960,20.326,14.198
01051,31.942,75.145,68115,25.219,13.753
01053,34.933,74.652,55960,36.342,13.333
01055,30.265,74.403,59949,16.346,18.717
01057,31.367,71.897,55960,14.495,13.333
01059,30.857,76.176,55960,19.127,9.524
01061,30.891,77.044,61627,18.326,17.391
01063,33.429,78.13,68505,82.487,14.286
01065,33.19,75.384,69140,47.894,19.048
01067,29.562,76.076,61627,29.795,10.417
01069,32.104,77.515,61627,29.199,21.449
01071,30.945,74.725,55960,13.638,15.951
01073,32.032,76.209,75311,36.634,23.372
01075,28.333,80.811,57157,14.645,12.5
01077,30.341,73.035,65316,15.335,17.676
01079,30.72,71.671,65097,23.41,17.797
01081,32.07,76.528,75217,34.388,25.565
01083,30.326,74.416,85279,27.182,19.125
01085,31.75,74.504,68115,66.895,8.333
01087,32.81,78.927,55960,83.028,19.048
01089,30.997,75.207,85276,34.72,21.142
01091,31.81,79.191,61919,51.402,19.048
01093,29.0,76.049,55960,11.204,21.951
01095,31.387,73.873,61200,18.879,15.696
01097,31.885,75.163,61638,33.689,18.45
01099,31.618,72.769,55960,40.736,14.706
01101,32.303,78.627,68131,54.675,22.449
01103,30.648,74.023,65097,22.931,17.852
01105,25.0,73.033,68909,60.442,16.667
01107,30.765,74.974,68505,41.692,20.588
01109,32.394,82.911,62171,44.094,25.758
01111,32.962,71.373,55960,22.21,9.524
01113,30.652,74.382,62459,46.996,17.037
01115,30.971,75.005,75287,18.162,16.006
01117,32.036,74.712,75287,26.037,18.085
01119,30.583,77.53,55960,73.917,8.333
01121,33.17,74.156,57538,32.219,15.81
01123,30.374,69.796,56521,23.319,13.408
01125,31.391,77.118,69410,32.643,21.027
01127,32.115,77.113,59531,13.713,21.531
01129,32.829,69.479,61626,33.81,11.429
01131,24.727,84.986,55960,69.187,9.091
01133,29.842,65.109,55960,6.829,10.526
02013,10.0,95.0,88313,80.76,0.0
02016,36.571,71.259,92500,68.83,0.0
02020,33.403,76.642,98403,42.295,27.589
02050,28.727,72.853,85908,82.847,0.0
02060,10.0,75.71,92222,57.7,0.0
02063,36.846,76.805,98498,31.749,7.692
02066,33.333,87.262,87981,39.21,50.0
02068,28.0,84.0,116648,14.89,20.0
02070,25.667,86.458,85908,76.92,33.333
02090,31.643,75.865,89208,31.139,25.703
02100,34.167,76.27,85908,24.18,33.333
02105,35.0,83.167,85908,52.52,33.333
02110,32.551,71.159,106066,37.811,22.785
