county,dti_avg_2018,ltv_avg_2018,income_estimate_2018,pct_nonwhite_estimate_2018,pct_first_time_buyer_2018,dti_avg_2019,ltv_avg_2019,income_estimate_2019,pct_nonwhite_estimate_2019,pct_first_time_buyer_2019,dti_avg_2020,ltv_avg_2020,income_estimate_2020,pct_nonwhite_estimate_2020,pct_first_time_buyer_2020,dti_avg_2021,ltv_avg_2021,income_estimate_2021,pct_nonwhite_estimate_2021,pct_first_time_buyer_2021,dti_avg_2022,ltv_avg_2022,income_estimate_2022,pct_nonwhite_estimate_2022,pct_first_time_buyer_2022
00013,35.111,72.344,70174,21.4,18.889,32.667,91.667,73783,21.24,66.667,29.333,74.667,78002,20.78,16.667,33.2,77.1,81290,21.57,30.0,32.6,80.8,81859,30.12,20.0
01001,31.225,81.954,60392,20.519,23.632,29.998,81.706,62008,20.457,22.521,27.614,78.117,64295,19.83,12.195,28.428,78.458,66367,20.317,14.404,29.991,79.05,68115,28.334,22.852
01003,32.898,76.691,64020,13.477,14.418,32.433,75.949,67732,13.338,12.434,30.568,73.408,71951,13.273,7.987,30.927,71.458,75850,14.014,8.789,33.704,71.963,79996,17.543,13.687
01005,30.125,77.841,46667,49.148,18.75,30.25,78.263,48514,46.565,13.333,28.425,77.259,50884,49.267,15.044,28.583,75.303,53454,48.799,13.714,29.5,73.964,55960,55.224,12.766
01007,31.348,80.334,63934,24.538,30.303,28.293,80.372,66188,20.84,22.414,29.83,72.858,69323,19.641,6.667,28.873,75.301,73843,20.721,11.446,31.0,75.721,75603,19.928,15.385
01009,30.799,78.821,63934,10.003,18.089,30.788,80.218,66188,10.074,18.069,28.604,76.621,69323,10.026,9.014,28.657,72.875,73843,10.574,10.229,30.748,73.296,75287,13.951,16.529
01011,28.444,76.868,46667,69.382,0.0,30.0,80.197,48514,71.247,0.0,22.182,77.508,50884,66.419,9.091,29.6,68.519,53454,69.36,4.0,31.1,64.986,55960,72.248,20.0
01013,29.357,79.536,46667,38.415,18.571,27.565,77.19,48514,37.186,21.739,25.871,73.698,50884,38.155,7.527,28.757,74.463,53454,39.665,10.68,31.794,78.777,57011,48.169,19.048
01015,32.16,80.5,52511,20.53,22.954,30.332,79.239,54482,20.118,18.132,28.895,77.468,56402,19.024,11.789,29.042,75.265,59147,19.588,12.614,31.427,74.789,59637,26.937,18.806
01017,31.659,80.63,47931,37.829,21.138,31.528,75.726,48856,41.915,16.981,29.171,74.633,51386,39.666,11.22,28.801,72.381,53567,39.001,13.653,31.403,72.914,55960,43.614,17.61
01019,32.436,76.463,48394,8.297,11.656,30.934,74.155,50252,7.977,7.947,30.309,75.124,52375,7.921,9.714,29.55,71.866,55542,8.034,7.09,33.687,71.023,58095,9.688,9.877
01021,32.777,79.692,63934,18.671,17.617,30.685,77.918,66188,18.298,13.063,29.147,75.711,69323,17.644,9.542,28.472,73.687,73843,18.021,9.612,31.245,76.495,75287,20.874,16.327
01023,28.0,75.567,46863,38.276,17.857,28.296,73.731,48514,28.771,22.222,28.744,76.497,50884,36.276,11.628,27.63,80.089,53454,35.783,12.963,30.04,74.343,55960,39.542,24.0
01025,32.581,76.607,50220,42.94,11.628,28.152,77.488,50603,42.731,13.043,27.835,73.87,51813,44.89,12.782,29.94,76.041,53454,44.567,14.458,30.349,72.002,55960,47.052,15.094
01027,33.854,84.414,46667,20.689,29.268,29.548,79.885,48514,20.692,16.667,30.551,77.192,50884,20.544,11.538,31.143,72.333,53454,21.189,8.791,31.52,73.675,55960,23.848,20.0
01029,30.221,74.4,49796,7.484,13.235,32.078,74.375,50934,6.657,9.375,30.35,75.033,53510,7.294,8.547,28.671,70.702,57342,7.517,8.054,29.681,73.313,62025,8.767,18.584
01031,30.938,80.273,61975,25.169,20.463,31.624,78.974,62987,25.348,12.157,28.636,77.404,64723,25.018,9.636,29.955,76.335,67551,26.083,12.462,31.529,77.011,67245,33.75,16.492
01033,29.808,79.393,56996,19.213,17.151,29.951,77.644,58608,19.609,19.026,27.365,76.155,61259,18.91,10.471,28.033,74.562,63512,19.43,12.044,31.506,75.271,65316,23.903,18.97
01035,32.621,71.967,46667,46.985,20.69,30.893,72.785,48514,46.298,25.0,33.259,77.206,50884,48.589,7.407,29.784,76.452,53454,49.722,7.843,31.346,74.628,55960,48.083,15.385
01037,32.077,77.543,46667,25.664,10.256,27.857,75.223,48514,29.881,11.111,28.904,70.52,50884,28.618,6.731,28.653,68.844,53454,27.117,8.475,32.892,73.476,55960,27.744,5.405
01039,31.266,79.783,49771,14.601,21.429,30.87,80.332,51643,14.845,11.111,29.193,74.982,54513,12.56,6.786,30.032,73.09,54031,13.96,5.882,30.783,72.88,56831,17.377,15.487
01041,31.511,81.923,50250,26.506,10.638,27.882,76.481,52354,25.577,8.824,29.768,79.836,55687,26.677,10.976,29.385,74.926,57778,27.018,3.846,30.717,74.625,59896,27.418,11.321
01043,31.105,77.414,48602,7.435,12.815,29.565,77.268,51478,7.468,16.129,27.941,75.077,53354,7.227,8.954,29.076,73.001,56490,7.282,9.821,31.063,72.948,60790,10.686,15.395
01045,32.942,79.051,55024,24.078,10.791,28.433,80.238,54111,25.705,16.667,28.536,76.973,56602,22.877,12.798,28.201,77.373,57404,25.049,12.407,29.691,75.844,56776,29.826,20.179
01047,32.133,82.891,46667,56.81,16.867,31.516,77.351,48514,53.897,16.129,30.952,78.614,50884,54.682,10.959,30.143,78.002,53454,50.86,11.039,32.849,78.497,55960,58.639,26.744
01049,30.668,79.058,46667,15.496,19.708,30.243,78.927,48514,15.61,23.588,28.202,75.974,50884,14.704,12.668,29.331,72.652,53454,15.551,11.175,31.624,72.974,55960,20.161,17.568
01051,31.544,79.511,60392,22.212,18.587,29.906,79.634,62008,22.04,16.108,28.995,76.475,64295,20.843,9.775,28.682,74.871,66367,21.799,10.304,30.811,75.144,68115,25.353,17.079
01053,30.338,79.223,46667,33.062,16.25,31.575,76.12,48514,35.583,16.038,30.6,74.476,50884,34.574,8.108,29.459,74.799,53454,32.931,10.976,32.446,74.394,55960,36.406,17.197
01055,32.515,80.662,51967,10.698,22.822,29.544,77.962,54588,10.924,16.883,28.565,76.44,57899,9.313,12.008,29.11,74.575,57404,9.314,12.083,31.031,75.164,59913,16.23,21.189
01057,27.953,74.917,46667,12.655,6.977,28.114,76.736,48514,14.856,5.714,31.517,76.545,50884,13.375,13.333,29.156,74.947,53454,13.389,8.889,32.542,75.388,55960,15.242,20.339
01059,28.622,79.757,46667,20.778,17.073,30.803,80.519,48514,18.832,13.158,27.48,73.958,50884,18.975,8.939,29.291,76.762,53454,18.612,11.558,28.933,73.139,55960,23.493,11.236
01061,31.35,77.906,52035,14.286,16.25,30.946,76.517,53687,14.631,13.514,26.682,73.222,56099,14.417,3.896,28.213,74.036,59061,14.49,9.901,29.026,78.111,61627,18.44,16.239
01063,34.778,71.667,46667,82.828,0.0,32.0,74.703,61229,82.393,23.077,37.045,76.995,64315,82.358,13.636,31.652,75.141,65210,82.766,0.0,31.824,75.877,68505,82.613,5.882
01065,32.545,83.455,58082,50.616,25.0,33.448,75.386,61229,52.37,10.345,33.045,78.07,64315,49.282,13.636,30.908,76.099,65210,49.258,14.474,33.561,78.929,69482,49.506,24.39
